Village_ID,Village_name,Area_Code,Fullname_Area,Shape_Area,Shape_file,Location_centre,Comments
ND_SG_1,Mageri,SMA_Hs,Mageri_Hills,,,Mageri_Village_centre,
ND_SG_1,Mageri,SMA_CP,Mageri_Crop_waste,,,Mageri_Village_centre,
ND_SG_1,Mageri,SMA_VP,Mageri_Village_Perimeter,,,Mageri_Village_centre,
ND_SG_1,Mageri,SMA_KR,Mageri_Kibigo_River,,,Mageri_Kibigo_River,
ND_SG_1,Mageri,SMA_NR,Mageri_Nkolomana_River,,,Mageri_Nkolomana_River,
ND_SG_1,Mageri,SMA_DR,Mageri_Dadaha_River,,,Mageri_Dadaha_River,
ND_SG_1,Mageri,SMA_MR,Mageri_Mojewansho_River,,,Mageri_Mojewansho_River,
ND_SG_1,Mageri,SMA_MO_R,Mageri_Mora_River,,,Mageri_Mora_River,
ND_SG_1,Mageri,SMA_ED,Mageri_Edari_Dam,,,Mageri_Edari_Dam,
ND_SG_1,Mageri,SMA_MG_R,Mageri_Mgoroma_River,,,Mageri_Mgoroma_River,
ND_SG_1,Mageri,SMA_WR,Mageri_Wanza_River,,,Mageri_Wanza_River,
ND_SG_2,Mgongo,SMG_CP,Mgongo_Crop_waste,,,Mgongo_Village_centre,
ND_SG_2,Mgongo,SMG_VP,Mgongo_Village_Perimeter,,,Mgongo_Village_centre,
ND_SG_2,Mgongo,SMG_NR,Mgongo_Nyasaba_River,,,Mgongo_Nyasaba_River,
ND_SG_2,Mgongo,SMG_Hs,Mgongo_Hills,,,Mgongo_Village_centre,
ND_SG_2,Mgongo,SMG_H1,Mgongo_Hill_Muyangene,,,Mgongo_Hill_Muyangene,
ND_SG_2,Mgongo,SMG_RA,Mgongo_Reserved_Area,,,Mgongo_Reserved_Area,
ND_SG_2,Mgongo,SMG_RR,Mgongo_Rukurene_River,,,Mgongo_Rukurene_River,
ND_SG_2,Mgongo,SMG_MR,Mgongo_Miringome_River,,,Mgongo_Miringome_River,
ND_SG_2,Mgongo,SMG_NG_R,Mgongo_Ngodime_River,,,Mgongo_Ngodime_River,
ND_SG_2,Mgongo,SMG_MB_R,Mgongo_Mbaribarine_River,,,Mgongo_Mbaribarine_River,STG_Hs
ND_SG_2,Mgongo,SMG_NH_R,Mgongo_Nghabona_River,,,Mgongo_Nghabona_River,
ND_KG_2,Tinaga,STG_Hs,Tinaga_Hills,,,Tinaga_Village_centre,
ND_KG_2,Tinaga,STG_H1,Tinaga_Ebwe_Lyanjoki_Hill,,,Tinaga_Ebwe_Lyanjoki_Hill,
ND_KG_2,Tinaga,STG_H2,Tinaga_Kadereghe_Hill,,,Tinaga_Kadereghe_Hill,
ND_KG_2,Tinaga,STG_H3,Tinaga_Biseria_Hill,,,Tinaga_Biseria_Hill,
ND_KG_2,Tinaga,STG_H4,Tinaga_Tembe_Hill,,,Tinaga_Tembe_Hill,
