Village_ID,Village_name,Month,Overnight_Stay,Campingsite,Camping,Drought,Large_Small_Herd,GzA_1,GzA_2,GzA_3,GzA_4,GzA_5,GzA_6,GzA_7,Wp_1,Wp_2,Wp_3,Wp_4,Wp_5,Wp_6,Wp_7,Wp_8, Sp_1,Sp_2,Sp_3,Dp_1,Dp_2,Wildlifesighting__GzA_impala,Wildlifesighting__Wp_impala,Wildlifesighting_GzA_wildebeest,Wildlifesighting_Wp_wildebeest,Wildlifesighting_GzA_buffalo,Wildlifesighting_Wp_buffalo,Comment
ND_SG_1,Mageri,January,,,0,1,1,SKS_Hs,STG_V,SSM_V,LOP_V,SYM_MV,SKS_V,,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,January,,,0,1,2,SMA_Hs,SMA_VP,STG_VP,SMG_VP,,SKS_V,,SMA_ED,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_KR,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,January,,,0,2,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,February,,,0,1,1,SKS_Hs,STG_V,SSM_V,LOP_V,SYM_MV,SKS_V,,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,February,,,0,1,2,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,February,,,0,2,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,March,,CMP,1,1,1,SKS_Hs,STG_V,SSM_V,LOP_V,SYM_MV,SKS_V,SOS_V,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,March,,,0,1,2,SMA_Hs,SMA_VP,SSM_VP,STG_VP,,,,SMA_KR,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,April,,CMP,1,1,1,SKS_Hs,STG_V,SSM_V,LOP_V,SYM_MV,SKS_V,SOS_V,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,April,,,0,1,2,SMA_Hs,SMA_VP,SSM_VP,STG_VP,,,,SMA_KR,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,May,,CMP,1,1,1,SKS_Hs,STG_V,SSM_V,LOP_V,SYM_MV,SKS_V,SOS_V,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,May,,,0,1,2,SMA_Hs,SMA_VP,SSM_VP,STG_VP,,,,SMA_KR,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,June,,CMP,1,1,1,SKS_Hs,STG_V,SSM_V,LOP_V,SYM_MV,SKS_V,SOS_V,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,June,,,0,1,2,SMA_Hs,SMA_VP,SSM_VP,STG_VP,,,,SMA_KR,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,July,,,0,1,1,SMA_CP ,SMA_Hs,STG_V,SSM_V,LOP_V,SYM_MV,,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,July,,,0,1,2,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,August,,,0,1,1,SMA_CP ,SMA_Hs,STG_V,SSM_V,LOP_V,SYM_MV,,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,August,,,0,1,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,September,,,0,1,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,October,,,0,1,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,November,,,0,2,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,November,,CMP,1,1,1,SKS_V,STG_V,SSM_V,LOP_V,SYM_MV,SOS_V,,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,November,,,0,1,2,SMA_Hs,SMA_VP,SSM_VP,STG_VP,,,,SMA_KR,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,December,,CMP,1,1,1,SKS_V,STG_V,SSM_V,LOP_V,SYM_MV,SOS_V,,SKS_Ws,STG_Ws,SSM_Ws,LOP_OS_Ws,SYM_Ws,,,,,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,December,,,0,1,2,SMA_Hs,SMA_VP,SSM_VP,STG_VP,,,,SMA_KR,SMA_NR,SMA_DR,SMA_MR,SMA_MG_R,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_1,Mageri,December,,,0,2,,SMA_Hs,SMA_VP,STG_VP,SMG_VP,SMG_RA,,,SMA_DR,SMA_MG_R,SMG_NR,SMA_MR,SMA_KR,SMA_ED,SMA_MO_R,SMA_WR,SSM_Sp_1W,,,,,2_M,2_M,,,,,
ND_SG_2,Mgongo,January,,,0,1,1,SMG_H1,SMG_Hs,SMG_RA,,,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,January,,CMP,1,1,1,SKS_V,SOS_V,SYM_MV,,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,January,,,0,1,2,SMG_VP,SMG_H1,SMG_Hs,STG_VP,,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,January,,CMP,1,2,1,SKS_V,SOS_V,SYM_MV,,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,February,,,0,1,1,SMG_H1,SMG_Hs,SMG_RA,SMG_VP,,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,February,,,0,1,2,SMG_VP,SMG_H1,SMG_Hs,,,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,February,,CMP,1,2,,SKS_V,SOS_V,SYM_MV,,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,March,,CMP,1,1,1,SKS_Hs,SOS_V,SYM_MV,SKS_V,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,March,,,0,1,2,SMG_VP,SMG_H1,SMG_Hs,SSM_VP,,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SSM_GR,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,April,,CMP,1,1,1,SKS_Hs,SOS_V,SYM_MV,SKS_V,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,April,,,0,1,2,SMG_VP,SMG_H1,SMG_Hs,SSM_VP,,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SSM_GR,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,May,,CMP,1,1,1,SKS_Hs,SOS_V,SYM_MV,SKS_V,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,May,,,0,1,2,SMG_VP,SMG_H1,SMG_Hs,SSM_VP,,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SSM_GR,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,June,,CMP,1,1,1,SKS_Hs,SOS_V,SYM_MV,SKS_V,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,June,,,0,1,2,SMG_VP,SMG_H1,SMG_Hs,SSM_VP,,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SSM_GR,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,July,,,0,1,,SMG_CP,SMG_RA,SMG_H1,SMG_Hs,SMG_VP,SSM_VP,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,August,,,0,1,,SMG_CP,SMG_RA,SMG_Hs,SMG_VP,SSM_VP,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,September,,,0,1,,SMG_RA,SMG_H1,SMG_Hs,SMG_VP,SSM_VP,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,October,,,0,1,,SMG_RA,SMG_H1,SMG_Hs,SMG_VP,SSM_VP,,,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,November,,,0,1,,SMG_RA,SMG_H1,SMG_Hs,SMG_VP,SSM_VP,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SMG_MR,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,November,,CMP,1,2,1,SKS_V,SOS_V,SYM_MV,SKS_Hs,,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,December,,,0,1,1,SMG_RA,SMG_H1,SMG_Hs,SMG_VP,SSM_VP,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SSM_GR,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,December,,CMP,1,2,1,SKS_V,SOS_V,SYM_MV,SSM_VP,SKS_Hs,,,SKS_Ws,SOS_Ws,SYM_Ws,,,,,,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_SG_2,Mgongo,December,,,0,1,,SMG_RA,SMG_H1,SMG_Hs,SMG_VP,SSM_VP,,,SMG_NG_R,SMG_MB_R,SMG_NH_R,SMA_DR,SMG_NR,SMG_RR,SMG_MR,SMG_MR,SSM_Sp_1W,,,,,1_W,1_W,,,,,
ND_KG_2,Tinaga,January,,,0,1,,STG_H1,STG_H2,STG_K,STG_H3,STG_E,SKS_Hs,STG_H4,STG_MW_R,STG_GR,STG_MR,,,,,,,,,,,1_W,1_W,,,,,
ND_KG_2,Tinaga,January,,,0,2,,SKS_V,SOS_V,LNN_V,SSM_VP,STG_H5,,,SKS_Ws,SOS_Ws,LNN_Ws,,,,,,,,,,,1_W,1_W,,,,,
